summary_type,group,panic_strategy,records,supported_records,executed_records,success_records,triggered_records,panic_records,memory_error_records,build_failed_records,timeout_records,avg_duration_sec
overall,ALL,unwind,20,20,20,2,8,5,3,10,0,0.234617
overall,ALL,abort,20,20,20,2,8,5,3,10,0,0.492987
scenario,S1,unwind,1,1,1,0,1,0,1,0,0,1.117773
scenario,S1,abort,1,1,1,0,1,0,1,0,0,1.12261
scenario,S2,unwind,13,13,13,1,5,5,0,7,0,0.076658
scenario,S2,abort,13,13,13,1,5,5,0,7,0,0.469055
scenario,S3,unwind,4,4,4,0,1,0,1,3,0,0.366681
scenario,S3,abort,4,4,4,0,1,0,1,3,0,0.377845
scenario,S4,unwind,2,2,2,1,1,0,1,0,0,0.555649
scenario,S4,abort,2,2,2,1,1,0,1,0,0,0.564022
fault_type,bounds_error,unwind,1,1,1,0,1,1,0,0,0,0.052761
fault_type,bounds_error,abort,1,1,1,0,1,1,0,0,0,1.0927
fault_type,double_free,unwind,1,1,1,0,1,0,1,0,0,1.117773
fault_type,double_free,abort,1,1,1,0,1,0,1,0,0,1.12261
fault_type,ffi_example,unwind,3,3,3,0,1,0,1,2,0,0.444394
fault_type,ffi_example,abort,3,3,3,0,1,0,1,2,0,0.462678
fault_type,integer_overflow,unwind,1,1,1,0,1,1,0,0,0,0.054248
fault_type,integer_overflow,abort,1,1,1,0,1,1,0,0,0,1.064324
fault_type,trophy_case,unwind,5,5,5,0,4,3,1,1,0,0.265184
fault_type,trophy_case,abort,5,5,5,0,4,3,1,1,0,0.883293
fault_type,unit_test,unwind,7,7,7,1,0,0,0,6,0,0.090141
fault_type,unit_test,abort,7,7,7,1,0,0,0,6,0,0.086949
fault_type,unsafe_bug,unwind,1,1,1,1,0,0,0,0,0,0.043936
fault_type,unsafe_bug,abort,1,1,1,1,0,0,0,0,0,0.043627
fault_type,use_after_free,unwind,1,1,1,0,0,0,0,1,0,0.133543
fault_type,use_after_free,abort,1,1,1,0,0,0,0,1,0,0.123345
